transaction_id,customer_id,amount,failure_reason,previous_successes,previous_failures,customer_lifetime_value,retry_count,days_since_last_payment,checkout_duration,payment_method,risk_score,recovered
TXN-00001,CUST-9666,18852.1,temporary_bank_decline,7,1,194012.06,3,158,390,card,0.399,0
TXN-00002,CUST-8041,30670.27,temporary_bank_decline,7,0,121901.43,4,73,171,wallet,0.282,1
TXN-00003,CUST-2016,34274.8,expired_card,5,1,104493.54,1,4,481,netbanking,0.257,0
TXN-00004,CUST-7278,48066.37,authentication_failure,9,1,59404.15,2,81,396,netbanking,0.379,0
TXN-00005,CUST-2757,42531.92,insufficient_balance,8,3,51957.6,2,137,211,card,0.403,0
TXN-00006,CUST-7776,7138.71,temporary_bank_decline,10,0,83885.48,2,128,510,upi,0.222,1
TXN-00007,CUST-4696,40937.14,authentication_failure,4,0,68185.42,2,118,476,upi,0.361,0
TXN-00008,CUST-9800,49887.48,insufficient_balance,7,2,17089.81,2,145,298,upi,0.51,0
TXN-00009,CUST-6423,7705.73,authentication_failure,10,3,42605.25,1,99,267,netbanking,0.322,1
TXN-00010,CUST-2218,48277.88,temporary_bank_decline,17,1,90236.4,4,169,165,upi,0.541,1
TXN-00011,CUST-4170,32949.12,temporary_bank_decline,8,3,39853.35,4,48,520,upi,0.456,1
TXN-00012,CUST-1537,49020.51,temporary_bank_decline,5,3,42574.82,1,127,159,card,0.464,1
TXN-00013,CUST-6222,40543.65,network_error,13,2,118575.82,0,170,58,card,0.337,0
TXN-00014,CUST-8805,4450.3,authentication_failure,9,1,6044.8,4,62,131,upi,0.283,0
TXN-00015,CUST-3479,4874.89,temporary_bank_decline,8,0,24912.76,4,69,51,netbanking,0.265,1
TXN-00016,CUST-3738,40384.27,expired_card,7,3,123554.38,1,128,164,upi,0.488,0
TXN-00017,CUST-8543,41067.85,temporary_bank_decline,7,1,131488.8,4,154,422,upi,0.47,1
TXN-00018,CUST-3782,36806.54,temporary_bank_decline,13,1,180608.03,3,112,346,card,0.4,0
TXN-00019,CUST-6293,47540.24,network_error,10,0,110356.25,4,163,219,upi,0.53,1
TXN-00020,CUST-9905,35108.26,insufficient_balance,4,2,162747.11,0,45,136,upi,0.121,1
TXN-00021,CUST-8576,45336.45,authentication_failure,3,0,24644.77,4,127,365,upi,0.46,0
TXN-00022,CUST-3703,43456.24,network_error,4,3,111217.0,3,146,51,upi,0.643,0
TXN-00023,CUST-2581,36907.62,temporary_bank_decline,6,2,53921.65,4,41,506,card,0.528,0
TXN-00024,CUST-5809,3994.78,insufficient_balance,10,3,166003.68,0,161,109,card,0.24,1
TXN-00025,CUST-5719,42512.44,expired_card,8,0,134643.07,1,118,310,upi,0.37,0
TXN-00026,CUST-6569,24106.29,expired_card,13,2,139830.73,4,132,142,upi,0.452,1
TXN-00027,CUST-8570,16571.83,expired_card,4,0,28626.61,3,104,285,upi,0.254,0
TXN-00028,CUST-1302,41125.17,temporary_bank_decline,7,1,19365.83,0,56,354,upi,0.25,0
TXN-00029,CUST-7229,18649.51,temporary_bank_decline,7,3,90035.06,2,115,19,upi,0.373,1
TXN-00030,CUST-2733,16509.37,network_error,10,0,57471.41,3,26,324,upi,0.239,1
TXN-00031,CUST-5289,18394.77,temporary_bank_decline,6,0,139695.33,1,75,8,wallet,0.276,0
TXN-00032,CUST-3832,27926.79,temporary_bank_decline,8,1,116666.41,2,100,263,card,0.295,0
TXN-00033,CUST-8577,6011.46,temporary_bank_decline,12,0,156521.38,2,105,233,card,0.231,0
TXN-00034,CUST-9669,45411.73,network_error,12,0,46576.05,2,134,583,card,0.41,0
TXN-00035,CUST-4756,44715.85,network_error,5,3,164430.2,3,109,220,upi,0.459,1
TXN-00036,CUST-7024,36057.82,temporary_bank_decline,11,2,4603.93,3,171,464,wallet,0.557,0
TXN-00037,CUST-9070,21321.71,network_error,12,0,67704.25,3,57,121,card,0.335,1
TXN-00038,CUST-6182,17478.27,network_error,7,2,126820.59,3,114,473,wallet,0.489,1
TXN-00039,CUST-5926,49844.34,authentication_failure,7,0,94941.32,2,18,594,upi,0.238,1
TXN-00040,CUST-3538,5328.48,authentication_failure,11,1,101596.07,0,67,55,card,0.095,0
TXN-00041,CUST-6986,48139.94,expired_card,8,5,165196.36,2,119,400,card,0.51,1
TXN-00042,CUST-7981,47432.97,insufficient_balance,7,1,127062.17,0,22,239,card,0.253,0
TXN-00043,CUST-3681,45732.08,network_error,7,0,180103.71,2,168,272,upi,0.482,0
TXN-00044,CUST-8674,21217.4,temporary_bank_decline,5,4,189912.05,4,56,293,upi,0.466,0
TXN-00045,CUST-6136,29922.77,temporary_bank_decline,7,1,160083.76,3,179,482,card,0.498,1
TXN-00046,CUST-2521,47521.82,expired_card,11,2,141409.46,0,151,90,card,0.322,0
TXN-00047,CUST-9502,21203.78,authentication_failure,9,2,81492.6,0,4,353,upi,0.016,0
TXN-00048,CUST-5361,23204.75,temporary_bank_decline,1,0,77408.81,2,123,43,card,0.425,0
TXN-00049,CUST-9202,4766.63,insufficient_balance,4,2,118232.6,0,73,403,upi,0.189,1
TXN-00050,CUST-8312,45205.45,expired_card,8,1,191496.78,4,5,58,netbanking,0.396,0
TXN-00051,CUST-1974,7864.02,expired_card,8,0,177860.87,0,76,174,upi,0.052,1
TXN-00052,CUST-7924,453.09,network_error,7,4,109212.0,4,33,266,netbanking,0.317,0
TXN-00053,CUST-8009,41883.26,temporary_bank_decline,9,2,163775.44,4,12,299,card,0.47,0
TXN-00054,CUST-5799,31773.48,network_error,11,0,60891.75,0,12,405,card,0.113,1
TXN-00055,CUST-8027,33867.4,insufficient_balance,8,0,32628.72,1,29,520,upi,0.232,1
TXN-00056,CUST-4676,42029.37,network_error,10,1,64827.81,1,163,528,upi,0.323,1
TXN-00057,CUST-6463,38874.52,temporary_bank_decline,9,0,25911.97,3,84,525,upi,0.382,0
TXN-00058,CUST-8833,21775.69,insufficient_balance,14,1,96988.92,3,148,246,upi,0.378,0
TXN-00059,CUST-1458,19966.78,expired_card,6,2,187306.24,0,114,268,upi,0.261,1
TXN-00060,CUST-8979,44761.87,insufficient_balance,7,1,174484.93,1,147,571,upi,0.372,0
TXN-00061,CUST-5703,27857.1,network_error,8,1,173786.23,1,24,408,upi,0.213,1
TXN-00062,CUST-5648,29485.31,insufficient_balance,8,1,167363.61,0,99,524,upi,0.161,1
TXN-00063,CUST-6895,12512.11,insufficient_balance,10,1,193994.39,2,10,274,upi,0.144,1
TXN-00064,CUST-6178,30933.82,temporary_bank_decline,6,4,23272.0,1,78,515,card,0.297,1
TXN-00065,CUST-9320,15944.57,temporary_bank_decline,5,4,98280.47,3,38,155,card,0.319,1
TXN-00066,CUST-9125,36595.31,authentication_failure,7,1,173057.16,0,76,349,upi,0.272,0
TXN-00067,CUST-9927,32960.7,insufficient_balance,13,3,109353.33,0,143,69,upi,0.297,1
TXN-00068,CUST-7570,18787.94,network_error,8,1,68908.32,3,133,308,upi,0.435,1
TXN-00069,CUST-8311,1107.98,insufficient_balance,4,1,186952.77,2,34,338,card,0.113,0
TXN-00070,CUST-4097,4663.39,temporary_bank_decline,11,2,163333.98,3,120,366,card,0.341,1
TXN-00071,CUST-8622,10759.83,insufficient_balance,11,2,34434.83,2,108,230,upi,0.266,0
TXN-00072,CUST-1072,27425.53,expired_card,9,2,21717.82,1,102,558,netbanking,0.345,0
TXN-00073,CUST-4874,16303.9,insufficient_balance,4,1,108462.37,1,67,385,card,0.194,0
TXN-00074,CUST-9555,36586.4,authentication_failure,7,0,90623.82,3,145,404,netbanking,0.363,1
TXN-00075,CUST-8574,12334.1,temporary_bank_decline,8,0,46244.1,4,66,365,wallet,0.213,1
TXN-00076,CUST-5259,47130.87,temporary_bank_decline,12,0,43184.52,0,143,409,card,0.343,1
TXN-00077,CUST-5349,30397.27,network_error,10,0,155568.0,3,141,547,upi,0.403,0
TXN-00078,CUST-2382,30207.15,authentication_failure,8,1,15851.33,3,115,267,card,0.405,1
TXN-00079,CUST-5798,11195.97,temporary_bank_decline,10,2,27626.94,4,79,475,upi,0.321,0
TXN-00080,CUST-3279,25066.82,expired_card,8,2,21327.76,0,169,133,card,0.317,0
TXN-00081,CUST-6330,23181.58,temporary_bank_decline,9,1,17873.61,2,129,439,card,0.263,1
TXN-00082,CUST-9569,33136.26,temporary_bank_decline,6,0,193604.15,0,73,467,card,0.26,1
TXN-00083,CUST-3461,24017.11,temporary_bank_decline,8,0,9703.39,0,168,406,upi,0.149,0
TXN-00084,CUST-7579,46430.21,temporary_bank_decline,7,2,195701.06,3,86,239,upi,0.44,1
TXN-00085,CUST-2428,40925.71,temporary_bank_decline,13,1,50089.09,4,3,453,card,0.413,1
TXN-00086,CUST-2124,36706.95,insufficient_balance,5,1,149401.02,0,162,441,card,0.289,1
TXN-00087,CUST-7841,6410.76,insufficient_balance,6,0,6785.2,3,57,24,netbanking,0.313,0
TXN-00088,CUST-2019,28161.93,insufficient_balance,8,2,157934.38,2,176,354,upi,0.415,0
TXN-00089,CUST-9895,15112.29,expired_card,12,3,185993.77,2,147,430,card,0.338,0
TXN-00090,CUST-1631,24251.85,temporary_bank_decline,7,1,150523.64,0,36,412,card,0.113,0
TXN-00091,CUST-7342,48746.77,expired_card,6,2,63722.71,2,7,74,card,0.373,0
TXN-00092,CUST-5624,19793.7,network_error,12,0,144281.6,1,71,293,card,0.21,1
TXN-00093,CUST-6774,30722.43,authentication_failure,6,3,157607.06,3,59,247,card,0.377,0
TXN-00094,CUST-9676,10403.09,insufficient_balance,8,3,21989.27,3,23,383,netbanking,0.209,1
TXN-00095,CUST-6108,31802.2,authentication_failure,12,0,37660.74,4,160,264,wallet,0.418,1
TXN-00096,CUST-1587,33462.42,expired_card,5,2,178161.35,4,9,376,card,0.415,0
TXN-00097,CUST-2958,16893.36,temporary_bank_decline,6,2,124564.78,0,69,293,upi,0.245,1
TXN-00098,CUST-4674,8523.17,temporary_bank_decline,6,1,152867.9,4,46,464,netbanking,0.345,0
TXN-00099,CUST-2531,19610.02,authentication_failure,7,1,193282.44,0,83,430,netbanking,0.18,0
TXN-00100,CUST-1987,31827.44,temporary_bank_decline,4,0,113866.99,3,89,207,card,0.384,1
